modulo,classificacao,menu,frontend,backend,banco,rotas,crud,relatorios,dashboard,permissoes,testes,ayla_integrada,arquivos_principais,problemas,pendencias
Dashboard principal,FUNCIONAL,sim,sim,sim,agregado,sim,n/a,parcial,sim,sim,nao,parcial,"app.js; api.php","-",Manter
Produtos,FUNCIONAL,sim,sim,sim,legado+alter,sim,sim,sim,n/a,sim,nao,sim,"app.js; api.php /produtos*","Sem migration create","Versionar schema core"
Categorias de produto,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","Nao ha modulo dedicado","Avaliar necessidade"
Unidades,FUNCIONAL,sim,sim,sim,legado,sim,sim,n/a,n/a,sim,nao,sim,"Unidade.php; api.php","Sem create migration","Schema core"
Estoque consulta,FUNCIONAL,sim,sim,sim,legado,sim,operacoes,sim,parcial,sim,nao,sim,"api.php estoque/*","-","-"
Lotes,FUNCIONAL,sim,sim,sim,legado+alter,sim,sim,etiquetas,n/a,sim,nao,sim,"api.php /lotes*","-","-"
Locais,FUNCIONAL,sim,sim,sim,runtime,sim,sim,n/a,n/a,sim,nao,nao,"api.php /locais*","Tabela core pouco documentada","Documentar schema"
Movimentacoes,FUNCIONAL,sim,sim,sim,legado+alter,sim,parcial,sim,n/a,sim,nao,sim,"api.php /movimentacoes*","-","-"
Inventario estoque,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","So consultas/estoque","Criar se necessario"
Lista de compras,FUNCIONAL,sim,sim,sim,legado,sim,sim,sugestoes,n/a,sim,nao,sim,"api.php /listas*","-","-"
Compras inteligentes,PARCIAL,nao,nao,sim,legado,sim GET sugestoes,n/a,n/a,n/a,n/a,nao,nao,"api.php sugestoes-compras","Sem tela dedicada","Expor UI ou Ayla"
Fornecedores,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,n/a,sim,nao,sim,"FornecedorController","-","-"
Perdas,PARCIAL,nao,via estoque,sim,legado,sim GET perdas-recentes,parcial,parcial,n/a,n/a,nao,parcial via OpenClaw,"api.php; AiAssistantController","Sem tela propria","Avaliar UI/Ayla"
Relatorios estoque,FUNCIONAL,sim,sim,sim,varias,sim,n/a,sim,parcial,sim,nao,parcial,"app.js relatorios","-","Ampliar Ayla"
